accuracy,precision,recall,f1_score,matthews_corrcoef,cohen_kappa,auc_roc,false_positive_rate,false_negative_rate,true_negatives,false_positives,false_negatives,true_positives,weighted_cost,model,preprocessing,balance_method,timestamp,train_size,experiment,used_extracted_features
0.972,0.9681050656660413,0.9791271347248577,0.9735849056603774,0.9438681501373518,0.9437997021384213,0.9961277083976876,0.035940803382663845,0.020872865275142316,912,34,22,1032,0.127,logistic_regression,basic_phishing,ninguno,2025-08-12 05:49:43,10000,Exploración Multi-Balanceo,True
0.9665,0.9814634146341463,0.9544592030360531,0.9677729677729677,0.9333030264207591,0.932909427727432,0.9962600944353736,0.0200845665961945,0.04554079696394687,927,19,48,1006,0.2495,naive_bayes,basic_phishing,ninguno,2025-08-12 05:49:44,10000,Exploración Multi-Balanceo,True
0.951,0.947565543071161,0.9601518026565465,0.9538171536286523,0.9017278440387099,0.9016388177387367,0.9899130865604101,0.05919661733615222,0.03984819734345351,890,56,42,1012,0.238,random_forest,basic_phishing,ninguno,2025-08-12 05:50:09,10000,Exploración Multi-Balanceo,True
0.964,0.9447463768115942,0.9895635673624289,0.9666357738646896,0.9287682182603895,0.9275933643341003,0.9937913957098901,0.06448202959830866,0.010436432637571158,885,61,11,1043,0.0855,xgboost,basic_phishing,ninguno,2025-08-12 05:52:39,10000,Exploración Multi-Balanceo,True
0.9745,0.967381174277726,0.9848197343453511,0.9760225669957687,0.948970825769623,0.9487981623560073,0.9961447581146624,0.03699788583509514,0.015180265654648957,911,35,16,1038,0.0975,lightgbm,basic_phishing,ninguno,2025-08-12 05:52:52,10000,Exploración Multi-Balanceo,True
0.947,0.9540229885057471,0.9449715370018975,0.9494756911344138,0.8937924480396765,0.8937475441649358,0.9884448050515303,0.0507399577167019,0.05502846299810247,898,48,58,996,0.314,gradient_boosting,basic_phishing,ninguno,2025-08-12 06:03:34,10000,Exploración Multi-Balanceo,True
0.9715,0.9716177861873226,0.9743833017077799,0.9729985788725722,0.9428282812861339,0.9428240123098899,0.9963042231146022,0.03171247357293869,0.025616698292220113,916,30,27,1027,0.15,logistic_regression,phishing_bigram,ninguno,2025-08-12 06:03:42,10000,Exploración Multi-Balanceo,True
0.9635,0.9890329012961117,0.9411764705882353,0.9645114244044726,0.9281964692556836,0.9269881720838776,0.9969109924539958,0.011627906976744186,0.058823529411764705,935,11,62,992,0.3155,naive_bayes,phishing_bigram,ninguno,2025-08-12 06:03:42,10000,Exploración Multi-Balanceo,True
0.9535,0.9428571428571428,0.9705882352941176,0.9565217391304348,0.9070111157070087,0.9065711616318903,0.989745096701983,0.06553911205073996,0.029411764705882353,884,62,31,1023,0.186,random_forest,phishing_bigram,ninguno,2025-08-12 06:04:10,10000,Exploración Multi-Balanceo,True
0.9635,0.9414941494149415,0.9924098671726755,0.9662817551963049,0.9280869710539293,0.9265597994378304,0.9944122059926745,0.06871035940803383,0.007590132827324478,881,65,8,1046,0.0725,xgboost,phishing_bigram,ninguno,2025-08-12 06:07:36,10000,Exploración Multi-Balanceo,True
0.974,0.9682242990654205,0.9829222011385199,0.975517890772128,0.947924958979099,0.9478026941840156,0.9968167175483711,0.035940803382663845,0.017077798861480076,912,34,18,1036,0.107,lightgbm,phishing_bigram,ninguno,2025-08-12 06:07:59,10000,Exploración Multi-Balanceo,True
0.946,0.9462264150943396,0.9516129032258065,0.9489120151371807,0.8916650972034968,0.8916489425739396,0.9889913989192486,0.06025369978858351,0.04838709677419355,889,57,51,1003,0.2835,gradient_boosting,phishing_bigram,ninguno,2025-08-12 06:22:17,10000,Exploración Multi-Balanceo,True
0.9705,0.9706717123935666,0.9734345351043643,0.9720511605873994,0.9408220971957815,0.9408178373032193,0.9961898897184189,0.03276955602536998,0.026565464895635674,915,31,28,1026,0.1555,logistic_regression,phishing_trigram,ninguno,2025-08-12 06:22:29,10000,Exploración Multi-Balanceo,True
0.953,0.9887983706720977,0.9212523719165086,0.9538310412573674,0.9084444441567017,0.9060912792765432,0.9964596764164303,0.011627906976744186,0.07874762808349146,935,11,83,971,0.4205,naive_bayes,phishing_trigram,ninguno,2025-08-12 06:22:30,10000,Exploración Multi-Balanceo,True
0.952,0.9410681399631676,0.969639468690702,0.9551401869158879,0.9040194038072337,0.9035520959335153,0.9892546666078285,0.06765327695560254,0.030360531309297913,882,64,32,1022,0.192,random_forest,phishing_trigram,ninguno,2025-08-12 06:22:58,10000,Exploración Multi-Balanceo,True
0.9655,0.9448961156278229,0.9924098671726755,0.968070337806571,0.9319240880816506,0.9305990010279395,0.9937437567948136,0.06448202959830866,0.007590132827324478,885,61,8,1046,0.0705,xgboost,phishing_trigram,ninguno,2025-08-12 06:26:26,10000,Exploración Multi-Balanceo,True
0.9765,0.971000935453695,0.9848197343453511,0.9778615167216204,0.9529322374315288,0.9528242230551033,0.9966391999069285,0.03276955602536998,0.015180265654648957,915,31,16,1038,0.0955,lightgbm,phishing_trigram,ninguno,2025-08-12 06:26:51,10000,Exploración Multi-Balanceo,True
0.949,0.9465290806754222,0.9573055028462998,0.9518867924528301,0.8977002717210447,0.8976351717521246,0.9888840859947607,0.06025369978858351,0.04269449715370019,889,57,45,1009,0.2535,gradient_boosting,phishing_trigram,ninguno,2025-08-12 06:41:08,10000,Exploración Multi-Balanceo,True
0.9725,0.9690140845070423,0.9791271347248577,0.974044360547428,0.9448638394396929,0.9448062700077271,0.9957676584921631,0.03488372093023256,0.020872865275142316,913,33,22,1032,0.1265,logistic_regression,phishing_char_ngram,ninguno,2025-08-12 06:41:26,10000,Exploración Multi-Balanceo,True
0.954,0.9762376237623762,0.9354838709677419,0.9554263565891473,0.9088314200051553,0.9079502931583054,0.993974429436236,0.02536997885835095,0.06451612903225806,922,24,68,986,0.352,naive_bayes,phishing_char_ngram,ninguno,2025-08-12 06:41:27,10000,Exploración Multi-Balanceo,True
0.968,0.9591836734693877,0.9810246679316889,0.9699812382739212,0.9360011848803672,0.9357292917769646,0.9943304676436489,0.046511627906976744,0.018975332068311195,902,44,20,1034,0.122,random_forest,phishing_char_ngram,ninguno,2025-08-12 06:42:10,10000,Exploración Multi-Balanceo,True
0.979,0.9711359404096834,0.9895635673624289,0.9802631578947368,0.9580246595927325,0.957831494652632,0.9969450918879452,0.03276955602536998,0.010436432637571158,915,31,11,1043,0.0705,xgboost,phishing_char_ngram,ninguno,2025-08-12 06:49:20,10000,Exploración Multi-Balanceo,True
0.9815,0.9765698219306467,0.9886148007590133,0.9825553983969826,0.9629476124731968,0.9628656479141534,0.9976561653782429,0.026427061310782242,0.011385199240986717,921,25,12,1042,0.0725,lightgbm,phishing_char_ngram,ninguno,2025-08-12 06:51:41,10000,Exploración Multi-Balanceo,True
0.966,0.9633458646616542,0.9724857685009488,0.9678942398489141,0.9318110924424478,0.9317641769956971,0.9939242832098398,0.0412262156448203,0.027514231499051234,907,39,29,1025,0.1645,gradient_boosting,phishing_char_ngram,ninguno,2025-08-12 07:19:24,10000,Exploración Multi-Balanceo,True
0.968,0.9626168224299065,0.9772296015180265,0.9698681732580038,0.9358778730163476,0.9357571620726346,0.9959070650015445,0.042283298097251586,0.022770398481973434,906,40,24,1030,0.14,logistic_regression,phishing_stem_nostop,ninguno,2025-08-12 07:19:58,10000,Exploración Multi-Balanceo,True
0.96,0.9840954274353877,0.9392789373814042,0.9611650485436893,0.9210364060779751,0.9199740715991982,0.9960855855675148,0.016913319238900635,0.06072106261859583,930,16,64,990,0.328,naive_bayes,phishing_stem_nostop,ninguno,2025-08-12 07:19:58,10000,Exploración Multi-Balanceo,True
0.9395,0.9191374663072777,0.9705882352941176,0.9441624365482234,0.8798086605351484,0.8782571249766072,0.9874975428349065,0.09513742071881606,0.029411764705882353,856,90,31,1023,0.2,random_forest,phishing_stem_nostop,ninguno,2025-08-12 07:20:23,10000,Exploración Multi-Balanceo,True
0.954,0.928698752228164,0.9886148007590133,0.9577205882352942,0.9095231869642934,0.9073898845594779,0.9923752662764622,0.08456659619450317,0.011385199240986717,866,80,12,1042,0.1,xgboost,phishing_stem_nostop,ninguno,2025-08-12 07:22:46,10000,Exploración Multi-Balanceo,True
0.9695,0.9592969472710453,0.9838709677419355,0.9714285714285714,0.9390773851919818,0.9387320138284858,0.9959020503789049,0.046511627906976744,0.016129032258064516,902,44,17,1037,0.107,lightgbm,phishing_stem_nostop,ninguno,2025-08-12 07:23:01,10000,Exploración Multi-Balanceo,True
0.943,0.9319852941176471,0.9620493358633776,0.9467787114845938,0.8859728304804432,0.8854556854171021,0.9868351111842131,0.07822410147991543,0.03795066413662239,872,74,40,1014,0.237,gradient_boosting,phishing_stem_nostop,ninguno,2025-08-12 07:33:31,10000,Exploración Multi-Balanceo,True
0.9735,0.9673202614379085,0.9829222011385199,0.9750588235294118,0.9469339132086614,0.9467960159250567,0.9968197263219548,0.03699788583509514,0.017077798861480076,911,35,18,1036,0.1075,logistic_regression,phishing_advanced,ninguno,2025-08-12 07:34:09,10000,Exploración Multi-Balanceo,True
0.9475,0.9937565036420395,0.9060721062618596,0.9478908188585607,0.8991008744854552,0.8952206652789226,0.9969641474539759,0.006342494714587738,0.09392789373814042,940,6,99,955,0.498,naive_bayes,phishing_advanced,ninguno,2025-08-12 07:34:10,10000,Exploración Multi-Balanceo,True
0.94,0.9192100538599641,0.9715370018975332,0.9446494464944649,0.8808634268902613,0.8792567042714954,0.9868065278351674,0.09513742071881606,0.028462998102466792,856,90,30,1024,0.195,random_forest,phishing_advanced,ninguno,2025-08-12 07:34:42,10000,Exploración Multi-Balanceo,True
0.9565,0.9344115004492363,0.9867172675521821,0.9598523304107061,0.9140778356944397,0.9124658667187177,0.9927699170782001,0.07716701902748414,0.013282732447817837,873,73,14,1040,0.1065,xgboost,phishing_advanced,ninguno,2025-08-12 07:38:26,10000,Exploración Multi-Balanceo,True
0.9705,0.9627906976744186,0.9819734345351043,0.9722874589008924,0.9409692761805362,0.9407600783171846,0.9959893048128342,0.042283298097251586,0.018026565464895637,906,40,19,1035,0.115,lightgbm,phishing_advanced,ninguno,2025-08-12 07:38:43,10000,Exploración Multi-Balanceo,True
0.947,0.93646408839779,0.9648956356736242,0.9504672897196261,0.893967551105887,0.8935054392599231,0.9875557124575262,0.07293868921775898,0.03510436432637571,877,69,37,1017,0.2195,gradient_boosting,phishing_advanced,ninguno,2025-08-12 07:55:55,10000,Exploración Multi-Balanceo,True
0.975,0.9622467771639043,0.99146110056926,0.9766355140186916,0.9502579262334284,0.9497667166320392,0.9929594698139775,0.04334038054968287,0.008538899430740038,905,41,9,1045,0.0655,logistic_regression,phishing_count_vector,ninguno,2025-08-12 07:56:08,10000,Exploración Multi-Balanceo,True
0.9285,0.9956474428726877,0.8681214421252372,0.927521540800811,0.8654765046043639,0.8576227580562619,0.9922152998142584,0.004228329809725159,0.1318785578747628,942,4,139,915,0.697,naive_bayes,phishing_count_vector,ninguno,2025-08-12 07:56:08,10000,Exploración Multi-Balanceo,True
0.95,0.9457943925233645,0.9601518026565465,0.9529190207156308,0.8997366151280932,0.8996205657384915,0.9871274636841029,0.0613107822410148,0.03984819734345351,888,58,42,1012,0.239,random_forest,phishing_count_vector,ninguno,2025-08-12 07:56:36,10000,Exploración Multi-Balanceo,True
0.9655,0.9448961156278229,0.9924098671726755,0.968070337806571,0.9319240880816506,0.9305990010279395,0.9938856706155148,0.06448202959830866,0.007590132827324478,885,61,8,1046,0.0705,xgboost,phishing_count_vector,ninguno,2025-08-12 07:58:18,10000,Exploración Multi-Balanceo,True
