rank,folder,model,config_name,recall,f1,cost,train_size
104,104_gradient_boosting_phishing_advanced_10000,gradient_boosting,phishing_advanced,0.9648956356736242,0.9504672897196261,0.2195,10000
105,105_random_forest_phishing_bigram_10000,random_forest,phishing_bigram,0.9648956356736242,0.9571764705882353,0.212,10000
106,106_random_forest_phishing_trigram_10000,random_forest,phishing_trigram,0.9648956356736242,0.9544814641013608,0.215,10000
107,107_gradient_boosting_phishing_char_ngram_10000,gradient_boosting,phishing_char_ngram,0.9639468690702088,0.9657794676806084,0.207,10000
108,108_gradient_boosting_phishing_stem_nostop_10000,gradient_boosting,phishing_stem_nostop,0.9620493358633776,0.9467787114845938,0.237,10000
109,109_random_forest_basic_phishing_10000,random_forest,basic_phishing,0.9620493358633776,0.9507735583684951,0.2325,10000
110,110_random_forest_phishing_count_vector_10000,random_forest,phishing_count_vector,0.9620493358633776,0.9534555712270804,0.2295,10000
111,111_gradient_boosting_phishing_count_vector_10000,gradient_boosting,phishing_count_vector,0.961100569259962,0.9520676691729323,0.2355,10000
112,112_gradient_boosting_phishing_mixed_features_10000,gradient_boosting,phishing_mixed_features,0.961100569259962,0.9493908153701968,0.2385,10000
113,113_gradient_boosting_phishing_stem_nostop_10000,gradient_boosting,phishing_stem_nostop,0.961100569259962,0.9485018726591761,0.2395,10000
114,114_random_forest_basic_phishing_10000,random_forest,basic_phishing,0.961100569259962,0.9534117647058824,0.234,10000
115,115_random_forest_basic_phishing_10000,random_forest,basic_phishing,0.9601518026565465,0.9538171536286523,0.238,10000
116,116_random_forest_phishing_count_vector_10000,random_forest,phishing_count_vector,0.9601518026565465,0.9529190207156308,0.239,10000
117,117_gradient_boosting_phishing_mixed_features_10000,gradient_boosting,phishing_mixed_features,0.9601518026565465,0.9488982653539616,0.2435,10000
118,118_gradient_boosting_phishing_trigram_10000,gradient_boosting,phishing_trigram,0.9573055028462998,0.9518867924528301,0.2535,10000
119,119_gradient_boosting_phishing_advanced_10000,gradient_boosting,phishing_advanced,0.9573055028462998,0.9474178403755869,0.2585,10000
120,120_gradient_boosting_phishing_count_vector_10000,gradient_boosting,phishing_count_vector,0.9554079696394687,0.9504483246814536,0.264,10000
121,121_gradient_boosting_phishing_mixed_features_10000,gradient_boosting,phishing_mixed_features,0.9554079696394687,0.95,0.2645,10000
122,122_naive_bayes_basic_phishing_10000,naive_bayes,basic_phishing,0.9544592030360531,0.9677729677729677,0.2495,10000
123,123_gradient_boosting_phishing_stem_nostop_10000,gradient_boosting,phishing_stem_nostop,0.9544592030360531,0.9463781749764817,0.273,10000
124,124_random_forest_phishing_count_vector_10000,random_forest,phishing_count_vector,0.9544592030360531,0.9495044832468146,0.2695,10000
125,125_gradient_boosting_phishing_count_vector_10000,gradient_boosting,phishing_count_vector,0.952561669829222,0.9512079583135955,0.2765,10000
126,126_gradient_boosting_phishing_bigram_10000,gradient_boosting,phishing_bigram,0.9516129032258065,0.9489120151371807,0.2835,10000
127,127_gradient_boosting_phishing_advanced_10000,gradient_boosting,phishing_advanced,0.9516129032258065,0.9466729589428976,0.286,10000
